2025-07-21 23:49:50,239 - Drowsiness detected
INFO:root:Drowsiness detected at 2025-07-22 11:41:00.891623
INFO:root:Drowsiness detected at 2025-07-22 11:41:00.999920
INFO:root:Drowsiness detected at 2025-07-22 11:41:01.095468
INFO:root:Drowsiness detected at 2025-07-22 11:41:01.187544
INFO:root:Drowsiness detected at 2025-07-22 11:41:01.278441
INFO:root:Drowsiness detected at 2025-07-22 11:41:01.369934
INFO:root:Drowsiness detected at 2025-07-22 11:41:01.462824
INFO:root:Drowsiness detected at 2025-07-22 11:41:01.559337
INFO:root:Drowsiness detected at 2025-07-22 11:41:01.649488
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.000546
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.092591
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.184170
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.276988
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.369258
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.462090
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.557403
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.650544
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.745413
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.835508
INFO:root:Drowsiness detected at 2025-07-22 11:43:38.926816
INFO:root:Drowsiness detected at 2025-07-22 11:44:19.447386
INFO:root:Drowsiness detected at 2025-07-22 11:44:19.539180
INFO:root:Drowsiness detected at 2025-07-22 11:44:19.631235
INFO:root:Drowsiness detected at 2025-07-22 11:44:19.725578
INFO:root:Drowsiness detected at 2025-07-22 11:44:19.817033
INFO:root:Drowsiness detected at 2025-07-22 11:44:19.907632
INFO:root:Drowsiness detected at 2025-07-22 11:44:19.999006
INFO:root:Drowsiness detected at 2025-07-22 11:44:20.092270
INFO:root:Drowsiness detected at 2025-07-22 11:44:20.185558
INFO:root:Drowsiness detected at 2025-07-22 11:44:20.277055
INFO:root:Drowsiness detected at 2025-07-22 11:44:20.368046
INFO:root:Drowsiness detected at 2025-07-22 11:44:20.460460
INFO:root:Drowsiness detected at 2025-07-22 11:44:20.555292
INFO:root:Drowsiness detected at 2025-07-22 11:44:20.647178
INFO:root:Drowsiness detected at 2025-07-22 11:44:20.740182
INFO:root:Drowsiness detected at 2025-07-22 11:44:20.834064
INFO:root:Drowsiness detected at 2025-07-22 11:44:20.926905
INFO:root:Drowsiness detected at 2025-07-22 11:44:21.019150
INFO:root:Drowsiness detected at 2025-07-22 11:44:21.112971
INFO:root:Drowsiness detected at 2025-07-22 11:44:21.205492
INFO:root:Drowsiness detected at 2025-07-22 11:44:21.303333
INFO:root:Drowsiness detected at 2025-07-22 11:44:21.395386
INFO:root:Drowsiness detected at 2025-07-22 11:44:21.487624
INFO:root:Drowsiness detected at 2025-07-22 11:44:21.579373
INFO:root:Drowsiness detected at 2025-07-22 11:44:21.670917
INFO:root:Drowsiness detected at 2025-07-22 11:44:23.003806
INFO:root:Drowsiness detected at 2025-07-22 11:44:23.097386
INFO:root:Drowsiness detected at 2025-07-22 11:44:23.188596
INFO:root:Drowsiness detected at 2025-07-22 11:44:23.281720
INFO:root:Drowsiness detected at 2025-07-22 11:44:23.728336
INFO:root:Drowsiness detected at 2025-07-22 11:44:23.910444
INFO:root:Drowsiness detected at 2025-07-22 11:44:24.001958
INFO:root:Drowsiness detected at 2025-07-22 11:44:24.270203
INFO:root:Drowsiness detected at 2025-07-22 11:44:24.540869
INFO:root:Drowsiness detected at 2025-07-22 11:44:24.720097
INFO:root:Drowsiness detected at 2025-07-22 11:44:24.812465
INFO:root:Drowsiness detected at 2025-07-22 11:44:25.165940
INFO:root:Drowsiness detected at 2025-07-22 11:44:25.344811
INFO:root:Drowsiness detected at 2025-07-22 11:44:32.271523
INFO:root:Drowsiness detected at 2025-07-22 11:44:32.363161
INFO:root:Drowsiness detected at 2025-07-22 11:44:32.455390
INFO:root:Drowsiness detected at 2025-07-22 11:44:32.545532
INFO:root:Drowsiness detected at 2025-07-22 11:44:32.636312
INFO:root:Drowsiness detected at 2025-07-22 11:44:32.729274
INFO:root:Drowsiness detected at 2025-07-22 11:44:32.825712
INFO:root:Drowsiness detected at 2025-07-22 11:44:32.917970
INFO:root:Drowsiness detected at 2025-07-22 11:44:33.009816
INFO:root:Drowsiness detected at 2025-07-22 11:44:59.111348
INFO:root:Drowsiness detected at 2025-07-22 11:44:59.203616
INFO:root:Drowsiness detected at 2025-07-22 11:44:59.296124
INFO:root:Drowsiness detected at 2025-07-22 11:45:00.109187
INFO:root:Drowsiness detected at 2025-07-22 11:45:53.416621
INFO:root:Drowsiness detected at 2025-07-22 11:45:53.507847
INFO:root:Drowsiness detected at 2025-07-22 11:45:53.600399
INFO:root:Drowsiness detected at 2025-07-22 11:45:53.697564
INFO:root:Drowsiness detected at 2025-07-22 11:45:53.789620
INFO:root:Drowsiness detected at 2025-07-22 11:45:53.881758
INFO:root:Drowsiness detected at 2025-07-22 11:45:53.974057
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.066000
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.162647
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.256102
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.347498
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.442212
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.534580
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.627775
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.722538
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.815188
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.907464
INFO:root:Drowsiness detected at 2025-07-22 11:45:54.997811
INFO:root:Drowsiness detected at 2025-07-22 11:45:55.090410
INFO:root:Drowsiness detected at 2025-07-22 11:45:55.182954
INFO:root:Drowsiness detected at 2025-07-22 11:45:55.276407
INFO:root:Drowsiness detected at 2025-07-22 11:45:55.366978
INFO:root:Drowsiness detected at 2025-07-22 11:45:55.459589
INFO:root:Drowsiness detected at 2025-07-22 11:45:55.551707
INFO:root:Drowsiness detected at 2025-07-22 11:45:55.643505
INFO:root:Drowsiness detected at 2025-07-22 11:45:55.744499
INFO:root:Drowsiness detected at 2025-07-22 11:45:55.840852
INFO:root:Drowsiness detected at 2025-07-22 11:45:55.939180
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.031422
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.123607
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.215665
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.307037
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.399847
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.493020
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.595985
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.687709
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.780738
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.872856
INFO:root:Drowsiness detected at 2025-07-22 11:45:56.965185
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.055427
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.148263
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.241741
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.336724
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.428792
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.520475
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.612602
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.704608
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.796561
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.889425
INFO:root:Drowsiness detected at 2025-07-22 11:45:57.981260
INFO:root:Drowsiness detected at 2025-07-22 11:45:58.072528
INFO:root:Drowsiness detected at 2025-07-22 11:45:58.164836
INFO:root:Drowsiness detected at 2025-07-22 11:45:58.256379
INFO:root:Drowsiness detected at 2025-07-22 11:45:58.350646
INFO:root:Drowsiness detected at 2025-07-22 11:45:58.445549
INFO:root:Drowsiness detected at 2025-07-22 11:45:58.544887
INFO:root:Drowsiness detected at 2025-07-22 11:45:58.636142
INFO:root:Drowsiness detected at 2025-07-22 11:45:58.730572
INFO:root:Drowsiness detected at 2025-07-22 11:45:58.831582
INFO:root:Drowsiness detected at 2025-07-22 11:45:58.925743
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.018227
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.107993
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.112711
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.207070
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.220211
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.323773
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.328146
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.422020
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.517680
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.522242
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.619910
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.715645
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.817541
INFO:root:Drowsiness detected at 2025-07-22 11:45:59.921112
INFO:root:Drowsiness detected at 2025-07-22 11:46:00.255779
INFO:root:Drowsiness detected at 2025-07-22 11:46:47.768794
INFO:root:Drowsiness detected at 2025-07-22 11:46:47.862593
INFO:root:Drowsiness detected at 2025-07-22 11:46:47.957102
INFO:root:Drowsiness detected at 2025-07-22 11:46:48.052721
INFO:root:Drowsiness detected at 2025-07-22 11:46:48.144815
INFO:root:Drowsiness detected at 2025-07-22 11:46:48.238193
INFO:root:Drowsiness detected at 2025-07-22 11:46:48.331755
INFO:root:Drowsiness detected at 2025-07-22 11:46:48.428569
